gloss,age,role,Vqilai,qilai_shenme
吃 起来 什么 味道,45,adult,吃, 什么 味道
苹果 闻 起来 是 什么 感觉,42,adult,闻, 是 什么 感觉
忘记 了 没关系 你 觉 得 苹果 摸 起来 是 什么 感觉 呀,72,adult,摸, 是 什么 感觉 呀
吃 起来 呢,72,adult,吃, 呢
那 尝 起来 是 什么 味道 的,72,adult,尝, 是 什么 味道 的
苹果 闻 起来 是 什么 味道 的 呀,44,adult,闻, 是 什么 味道 的 呀
闻 起来,72,adult,闻,NA
吃 起来 是 什么 味道 的 呀,44,adult,吃, 是 什么 味道 的 呀
里面 的 果 肉 嗯 吃 起来 很 响,70,child,吃, 很 响
嗯 吃 起来 那,70,adult,吃, 那
吃 起来 那,70,adult,吃, 那
摸 起来 会 怎么样,45,adult,摸, 会 怎么样
摸 起来 是 光滑 的 还 是 不 光滑 的,45,adult,摸, 是 光滑 的 还 是 不 光滑 的
它 摸 起来 是 什么 感觉,72,adult,摸, 是 什么 感觉
然后 切 起来 有 沙 的,70,child,切, 有 沙 的
嗯 吃 起来 那,70,adult,吃, 那
吃 起来 呢,72,adult,吃, 呢
吃 起来 是 甜甜的,72,child,吃, 是 甜甜的
就 是 需要 运动 的 时候 就 拿 起来,72,child,拿,NA
吃 起来 有 点 像 沙子,70,child,吃, 有 点 像 沙子
苹果 吃 起来 怎么样,44,adult,吃, 怎么样
好吃 的 吃 起来 红,72,child,吃, 红
苹果 吃 起来 怎么样,48,adult,吃, 怎么样
吃 起来 甜甜 的 对 吗,72,adult,吃, 甜甜 的 对 吗
吃 起来 什么,72,adult,吃, 什么
吃 起来 红红 的,72,child,吃, 红红 的
吃 起来 红红 的 啊 味道 呢,72,adult,吃, 红红 的 啊 味道 呢
苹果 吃 起来 什么 味道,49,adult,吃, 什么 味道
那 它 闻 起来 怎么 样子 的 苹果,70,adult,闻, 怎么 样子 的 苹果
闻 起来 酸酸 的,70,child,闻, 酸酸 的
闻 起来 酸酸 的 啊 嗯 好,70,adult,闻, 酸酸 的 啊 嗯 好
那 摸 起来 的 感觉,70,adult,摸, 的 感觉
摸 起来 怎么样 啊,44,adult,摸, 怎么样 啊
吃 起来 怎么样,72,adult,吃, 怎么样
吃 起来 怎么样,72,adult,吃, 怎么样
摸 起来 那,70,adult,摸, 那
吃 起来 那,70,adult,吃, 那
吃 起来 更 好吃,70,child,吃, 更 好吃
然后 有 个 老师 给 他 扶 起来,72,child,扶,NA
拍 起来,50,adult,拍,NA
吃 起来 呢,72,adult,吃, 呢
吃 起来 甜甜 的,72,child,吃, 甜甜 的
然后 给 老师 看 到 了 然后 就 扶 起来,72,child,扶,NA
它 摸 起来 是 什么 感觉,70,adult,摸, 是 什么 感觉
那 它 闻 起来 什么 味道 苹果,70,adult,闻, 什么 味道 苹果
摸 起来,47,adult,摸,NA
吃 起来,47,adult,吃,NA
而且 呢 它 滚 起来 是 滑滑 的,72,child,滚, 是 滑滑 的
看 起来 圆圆 的,59,child,看, 圆圆 的
摸 起来 是 什么 感觉 的,47,adult,摸, 是 什么 感觉 的
闻 起来 香香 的,59,child,闻, 香香 的
吃 起来 有 水,59,child,吃, 有 水
摸 起来 是 冰 的,47,child,摸, 是 冰 的
吃 起来 呢,47,adult,吃, 呢
那 苹果 的 表面 摸 起来 是 什么 样子 的,70,adult,摸, 是 什么 样子 的
吃 起来 甜 的,47,child,吃, 甜 的
那 苹果 摸 起来,70,adult,摸,NA
摸 起来 摸 起来 你 感觉 是 什么 样子 的,70,adult,摸, 摸 起来 你 感觉 是 什么 样子 的
摸 起来 什么 感觉,70,adult,摸, 什么 感觉
吃 起来 有 点 酸,57,child,吃, 有 点 酸
它 摸 起来 是 不 是 滑滑 的 对 不 对,70,adult,摸, 是 不 是 滑滑 的 对 不 对
嗯 苹果 闻 起来,70,adult,闻,NA
苹果 摸 起来 是 什么 样子 的,70,adult,摸, 是 什么 样子 的
它 也 可以 拍 起来,59,child,拍,NA
吃 起来 甜甜 酸酸,72,child,吃, 甜甜 酸酸
用 手 拍 起来,59,child,拍,NA
吃 起来 甜甜 的,58,child,吃, 甜甜 的
摸 起来 滑滑 的,58,child,摸, 滑滑 的
然后 吃 起来 硬硬 的,72,child,吃, 硬硬 的
摸 起来 的 感觉,70,adult,摸, 的 感觉
吃 起来 是 酸酸 甜甜 的,60,child,吃, 是 酸酸 甜甜 的
它 里面 它 吃 起来 甜甜 的,72,child,吃, 甜甜 的
苹果 摸 起来 是 滑滑 的,58,child,摸, 是 滑滑 的
踢 起来 有 点 快,60,child,踢, 有 点 快
闻 起来 怎么样,72,adult,闻, 怎么样
吃 起来 甜甜 的,60,child,吃, 甜甜 的
吃 起来 呢,72,adult,吃, 呢
然后 它 摸 起来 是 硬硬 的,72,child,摸, 是 硬硬 的
吃 起来 怎么样,61,adult,吃, 怎么样
拍 起来 也 是 矮矮 的,72,child,拍, 也 是 矮矮 的
球 摸 起来 有 点 刺,60,child,摸, 有 点 刺
摸 起来 怎么样,61,adult,摸, 怎么样
吃 起来 什么 味道 啊,61,adult,吃, 什么 味道 啊
苹果 吃 起来 甜甜 的,60,child,吃, 甜甜 的
那 他 摸 起来 有 什么 感觉,72,adult,摸, 有 什么 感觉
吃 起来 呢,72,adult,吃, 呢
摸 起来 是 什么 感觉,70,adult,摸, 是 什么 感觉
闻 起来 呢,72,adult,闻, 呢
闻 起来 什么 样 呀,72,adult,闻, 什么 样 呀
闻 起来 香香 的,72,child,闻, 香香 的
然后 拍 起来 有 点 矮,72,child,拍, 有 点 矮
吃 起来 很 好 吃 甜甜 的,72,child,吃, 很 好 吃 甜甜 的
吃 起来 呢,72,adult,吃, 呢
那 摸 起来 呢,72,adult,摸, 呢
吃 起来 什么 味道,62,adult,吃, 什么 味道
摸 起来 冰冰凉凉 的,72,child,摸, 冰冰凉凉 的
闻 起来 酸酸甜甜 的 是 吧,72,adult,闻, 酸酸甜甜 的 是 吧
但 不过 那 个 拍 起来 不 行,72,child,拍, 不 行
那 你 觉 得 苹果 闻 起来 是 什么 样子 的,70,adult,闻, 是 什么 样子 的
它 吃 起来 甜甜 的 酸酸 的,61,child,吃, 甜甜 的 酸酸 的
闻 起来 香香 的,70,adult,闻, 香香 的
对 了 摸 起来 呢,61,adult,摸, 呢
摸 起来 是 什么 感觉,70,adult,摸, 是 什么 感觉
摸 起来 冰冰 的,61,child,摸, 冰冰 的
摸 过 吗 摸 起来,70,adult,摸,NA
摸 起来,70,adult,摸,NA
这 是 皮球 拍 起来 重重 的,72,child,拍, 重重 的
吃 起来 什么 都 很 爱 吃,61,child,吃, 什么 都 很 爱 吃
摸 起来 呢,62,adult,摸, 呢
那 还 有 没 有 其他 特点 摸 起来 是 什么 感觉 的 闻 起来 呢,62,adult,摸, 是 什么 感觉 的 闻 起来 呢
吃 起来 很 好吃 好,70,adult,吃, 很 好吃 好
没 闻 我 只 吃 起来 感觉 甜 的,62,child,吃, 感觉 甜 的
摸 起来 很 光滑,71,child,摸, 很 光滑
它 可以 拍 起来,61,child,拍,NA
那 苹果 吃 起来 是 什么 味道 的,70,adult,吃, 是 什么 味道 的
闻 起来 苹果 是 什么 味道,61,adult,闻, 苹果 是 什么 味道
苹果 皮 摸 起来 什么 感觉,61,adult,摸, 什么 感觉
摸 起来 什么 感觉,70,adult,摸, 什么 感觉
吃 起来 甜甜 的 酸酸 的,73,child,吃, 甜甜 的 酸酸 的
摸 起来 还 是 滑滑 的,73,child,摸, 还 是 滑滑 的
吃 起来 是 什么 样 的 呢,73,adult,吃, 是 什么 样 的 呢
要 用 力 拍 才 能 跳 起来,70,child,跳,NA
拍 起来 比较 弹,61,child,拍, 比较 弹
拍 起来 我 要 用 力 拍,70,child,拍, 我 要 用 力 拍
它 摸 起来 是 硬 梆梆 刺刺 的,73,child,摸, 是 硬 梆梆 刺刺 的
吃 起来 什么 感觉,70,adult,吃, 什么 感觉
吃 起来 甜甜 的,72,child,吃, 甜甜 的
但是 用 学 很 久 才 可以 拍 起来,73,adult,拍,NA
吃 起来 是 什么 感觉 呀,72,adult,吃, 是 什么 感觉 呀
嗯 那 它 摸 起来 是 什么 样子 的,72,adult,摸, 是 什么 样子 的
要 过 一 段 时间 才 能 拍 起来 是 吗,73,adult,拍, 是 吗
吃 起来 是 什么 颜色 的 呀,72,adult,吃, 是 什么 颜色 的 呀
甜甜 的 摸 起来 什么 感觉,72,adult,摸, 什么 感觉
吃 起来 甜甜 的 酸酸 的,72,child,吃, 甜甜 的 酸酸 的
嗯 摸 起来 摸 起来 怎么样,72,adult,摸, 摸 起来 怎么样
摸 起来 滑滑 的,72,child,摸, 滑滑 的
老师 这 小 羊 说 这 个 苹果 摸 起来 很 滑,73,child,摸, 很 滑
嗯 吃 起来 呢,72,adult,吃, 呢
还 有 吃 的 时候 香 的 闻 起来 很 香,69,child,闻, 很 香
吃 起来 是 脆脆 糯糯 的,72,child,吃, 是 脆脆 糯糯 的
是 闻 起来 很 香 还 有 吗,69,adult,闻, 很 香 还 有 吗
那 它 吃 起来 呢,73,adult,吃, 呢
里面 吃 起来 甜甜 的,72,child,吃, 甜甜 的
吃 起来 甜甜 的,73,child,吃, 甜甜 的
毛 糙糙 的 那 吃 起来 是 什么 感觉,72,adult,吃, 是 什么 感觉
嗯 那 苹果 它 摸 起来 怎么样,72,adult,摸, 怎么样
吃 起来 有 的 时候 脆脆 的 有 的 时候 糯糯 的,72,child,吃, 有 的 时候 脆脆 的 有 的 时候 糯糯 的
是 因为 有 些 苹果 它 吃 起来 非常 好吃,73,child,吃, 非常 好吃
哦 那 它 吃 起来 呢,72,adult,吃, 呢
有 些 苹果 它 吃 起来 不 好吃,73,child,吃, 不 好吃
吃 起来 嗯 咬 的 时候 有 点 酸酸 甜甜,72,child,吃, 嗯 咬 的 时候 有 点 酸酸 甜甜
皮球 拍 起来 嗯 如果 它 没 气 了,72,child,拍, 嗯 如果 它 没 气 了
比如 说 苹果 吃 起来 是 什么 味道 的 呀,72,adult,吃, 是 什么 味道 的 呀
那 除 了 皮 之外 它 尝 起来 味道 怎么样 啊 吃 起来 味道 是 什么 样 的,69,adult,尝, 味道 怎么样 啊 吃 起来 味道 是 什么 样 的
那 他 摸 起来 呢,72,adult,摸, 呢
那 闻 起来 呢,69,adult,闻, 呢
然后 呢 皮 闻 起来 很 香 吃 起来 很 脆 很 甜,69,child,闻, 很 香 吃 起来 很 脆 很 甜
看 起来 很 好 玩,69,child,看, 很 好 玩
嗯 吃 起来 怎样,58,adult,吃, 怎样
吃 起来 甜甜 的,58,child,吃, 甜甜 的
然后 吃 起来 有 点 水 咪咪 的 感觉,69,child,吃, 有 点 水 咪咪 的 感觉
嗯 他 要 充 很 多 气 才 能 拍 起来,72,child,拍,NA
苹果 表面 摸 起来,72,adult,摸,NA
他 要 充 很 多 气 才 能 拍 起来 嗯,72,adult,拍, 嗯
摸 起来 什么 感觉,72,adult,摸, 什么 感觉
摸 起来 我 有 时候 感觉 好 粗糙,72,child,摸, 我 有 时候 感觉 好 粗糙
红色 的 摸 起来 是 什么 感觉 摸 起来,72,adult,摸, 是 什么 感觉 摸 起来
吃 起来 很 甜,70,child,吃, 很 甜
吃 起来 甜甜 的,83,child,吃, 甜甜 的
那 苹果 吃 起来 是 什么 样子 的,72,adult,吃, 是 什么 样子 的
就 是 把 球 藏 起来,69,child,藏,NA
吃 起来 是,70,adult,吃, 是
吃 起来 甜甜 的 好,72,adult,吃, 甜甜 的 好
吃 起来 是 酸酸 甜甜 的,70,child,吃, 是 酸酸 甜甜 的
哦 好 的 谢谢 你 很 好 你 讲 的 非常 好 那 苹果 摸 起来 感觉 怎么样,70,adult,摸, 感觉 怎么样
橘子 吃 起来 酸酸 的,72,child,吃, 酸酸 的
摸 起来 呢,70,adult,摸, 呢
橘子 吃 起来 酸酸 的 苹果 吃 起来 甜甜 的 好,72,adult,吃, 酸酸 的 苹果 吃 起来 甜甜 的 好
摸 起来 是 光滑 的,70,child,摸, 是 光滑 的
摸 起来 感觉 洗 过 的,70,child,摸, 感觉 洗 过 的
吃 起来 甜甜,72,child,吃, 甜甜
摸 起来 感觉 凉凉 的 滑滑 的,70,child,摸, 感觉 凉凉 的 滑滑 的
摸 起来 是 怎样 的,70,adult,摸, 是 怎样 的
这样 才 能 拍 起来,70,child,拍,NA
摸 起来 是 软软 的,70,child,摸, 是 软软 的
摸 起来 疙里疙瘩 的,71,child,摸, 疙里疙瘩 的
苹果 摸 起来 是 软软 的 感觉,70,adult,摸, 是 软软 的 感觉
但 吃 起来 甜甜 的,71,child,吃, 甜甜 的
这样 能 拍 起来 很 好,70,adult,拍, 很 好
气味 呢 吃 起来 呢,74,adult,吃, 呢
吃 起来 甜甜 的,74,child,吃, 甜甜 的
甜甜 的 很 棒 然后 摸 起来 呢,74,adult,摸, 呢
摸 起来 光滑 吗 表面,70,adult,摸, 光滑 吗 表面
摸 起来 滑滑 的,74,child,摸, 滑滑 的
吃 起来,67,adult,吃,NA
苹果 吃 起来 味道 怎么样 啊,71,adult,吃, 味道 怎么样 啊
你 比如 说 摸 起来,67,adult,摸,NA
吃 起来 很 甜 的,72,child,吃, 很 甜 的
拍 起来 很 高,70,child,拍, 很 高
吃 起来 呢,71,adult,吃, 呢
闻 起来 怎么样,72,adult,闻, 怎么样
呃 弹 可以 弹 起来 的,72,child,弹, 的
闻 起来 呢,73,adult,闻, 呢
闻 起来 香 香 的,73,child,闻, 香 香 的
呃 苹果 闻 起来 是 什么 味道,70,adult,闻, 是 什么 味道
闻 起来 香香 的,70,child,闻, 香香 的
那 吃 起来 呢,70,adult,吃, 呢
篮球 看 起来 很 好看,73,child,看, 很 好看
起 手 起来 的 话 可以 在 你 手,72,child,手, 的 话 可以 在 你 手
悬浮 一 会儿 才 掉 下去 弹 弹 起来 的,72,child,弹, 的
摸 起来 很 硬,70,child,摸, 很 硬
摸 起来 很 硬 很 好,70,adult,摸, 很 硬 很 好
吃 起来 很 好吃,36,child,吃, 很 好吃
吃 起来 是 一 只,36,child,吃, 是 一 只
吃 起来 以后 不 能 喝 水,36,child,吃, 以后 不 能 喝 水
嗯 吃 起来 很 好吃,36,child,吃, 很 好吃
吃 起来 就 像 苹果 香 甜,36,child,吃, 就 像 苹果 香 甜
吃 起来 甜 甜,48,child,吃, 甜 甜
摸 起来 怎么样,48,child,摸, 怎么样
摸 起来 就 是 很 滑 很 滑,36,child,摸, 就 是 很 滑 很 滑
然后 你 剥 掉 它 就 是 一 只 黄色 的 吃 起来 很 好吃 再 不 吃 的 话 它 就 会 变 黑 坏 掉 的,36,child,吃, 很 好吃 再 不 吃 的 话 它 就 会 变 黑 坏 掉 的
这 是 皮球 摸 起来 很 滑 但是 有 一 个 凸 点 小小 的,36,child,摸, 很 滑 但是 有 一 个 凸 点 小小 的
看 起来 红色 的 苹果 一样,48,child,看, 红色 的 苹果 一样
然后 它 很 爱 这样 跳 跳 跳 跳 起来,36,child,跳,NA
然后 跳 起来,36,child,跳,NA
摸 起来 是 把手 就 吃的 感觉,48,child,摸, 是 把手 就 吃的 感觉
闻 起来 什么 味道,65,child,闻, 什么 味道
这 是 圆圆 的 企鹅 看 起来 不 能 吃 而 是 要 玩 的 还 有 踢 的,65,child,看, 不 能 吃 而 是 要 玩 的 还 有 踢 的
买 起来 五 块 钱 的,48,child,买, 五 块 钱 的
摸 起来 吃 一样 的,65,child,摸, 吃 一样 的
那个 像 一 个 圆形 可是 你 看 起来 很 重 里面 的 气 很 多,36,child,看, 很 重 里面 的 气 很 多
还 有 漏 气 了 又 可 用 那个 东西 把 他 重新 弄 起来,65,child,弄,NA
它 吃 起来 很 甜,48,child,吃, 很 甜
是 哎呀 摸 起来 是 软软 的,48,child,摸, 是 软软 的
站 起来 这样 就 踢 响 了,48,child,站, 这样 就 踢 响 了
摸 起来 是 高级 的 一模一样 的 甜甜 的,60,child,摸, 是 高级 的 一模一样 的 甜甜 的
然后 我们 睡觉 就 早早 的 起来 上 幼儿园,48,child,的, 上 幼儿园
玩 起来 很 轻松,48,child,玩, 很 轻松
闻 起来 好 香 的,48,child,闻, 好 香 的
拿 起来,48,child,拿,NA
吃 起来 就 是 热热 的 然后 就 是 有 味道 苹果 味道,48,child,吃, 就 是 热热 的 然后 就 是 有 味道 苹果 味道
摸 起来 黄色 的,48,child,摸, 黄色 的
吃 起来,48,child,吃,NA
吃 起来,48,child,吃,NA
老师 说 这 是 苹果 它 皮 是 红色 的 吃 起来 里面 是 白色 的,60,child,吃, 里面 是 白色 的
还 有 剥 起来 开 里面 是 白白 的 还 有 核儿,65,child,剥, 开 里面 是 白白 的 还 有 核儿
摸 起来 也 很 滑,60,child,摸, 也 很 滑
闻 起来 香 的,60,child,闻, 香 的
吃 起来 又 很 甜,60,child,吃, 又 很 甜
摸 起来 摸 起来 感觉 是 那样,48,child,摸, 摸 起来 感觉 是 那样
玩 起来 很 好玩,60,child,玩, 很 好玩
扔 起来 很 好玩,60,child,扔, 很 好玩
草莓 味道 吃 起来,60,child,吃,NA
吃 起来 很 好吃,60,child,吃, 很 好吃
摸 起来 不 知道,60,child,摸, 不 知道
闻 起来 很 难吃,60,child,闻, 很 难吃
要 每 天 起来 要 浇 水 才能 把 树叶 长 高高 才能 有 甜甜 的 苹果 在 树叶里,60,child,天, 要 浇 水 才能 把 树叶 长 高高 才能 有 甜甜 的 苹果 在 树叶里
小朋友 都 动 起来 是 圆圆 的 所以 小朋友 都 爱 玩,60,child,动, 是 圆圆 的 所以 小朋友 都 爱 玩
扔 起来 很 疼,60,child,扔, 很 疼
它 吃 起来 也 很 甜,60,child,吃, 也 很 甜
它 吃起来 甜甜 又 酸 又 甜,60,child,吃, 甜甜 又 酸 又 甜
吃 起来 是 像 甜甜 的 一样,60,child,吃, 是 像 甜甜 的 一样
吃 起来 我 想想 是 甜甜 的,60,child,吃, 我 想想 是 甜甜 的
它 有 一些 这样 的 记 不 起来 了,60,child,记, 了
然后 吃 起来 很 好吃,60,child,吃, 很 好吃
苹果 外面 是 红红 的 但是 吃 起来 有点 脆,36,child,吃, 有点 脆
我 拿 了 一 个 小 苹果 拿 起来 吃,60,child,拿, 吃
还 有 它 吃 起来 有点 脆 但是 有 一点儿 甜,36,child,吃, 有点 脆 但是 有 一点儿 甜
吃 起来 很 好吃,60,child,吃, 很 好吃
吃 起来 也 很 甜,36,child,吃, 也 很 甜
它 摸 它 摸 它 摸 起来 是 很 漂亮 的 很 红红 的,60,child,摸, 是 很 漂亮 的 很 红红 的
爸爸 妈妈 来 把 它 抓 起来 来 吃 了,60,child,抓, 把 它 抓 起来 来 吃 了
吃 起来 都 是 很 很 甜甜 的,60,child,吃, 都 是 很 很 甜甜 的
他 跑 起来 了,72,child,跑, 了
我们 把 它 放在 水里 它 会 不会 飞 起来,72,child,飞,NA
他 哭 起来 了,72,child,哭, 了
小 大象 看起来 很 过瘾,72,child,看, 很 过瘾
他 的 朋友 就 笑 了 起来,72,child,笑,NA
他 说 站 起来,72,child,站,NA
他 飞 的 起来 的 时候,72,child,的, 的 时候
他 就 笑 起来 了,72,child,笑, 了
长颈鹿 把 他 弄 飞 了 起来,72,child,飞,NA
他 再 拿 起来,72,child,拿,NA
还有 小 大象 开心 起来 了,72,child,心, 了
长颈鹿 把 他 扶 起来,72,child,扶,NA
他 哭 了 起来,72,child,哭,NA
牛 牛 牛 牛 这样子 xxx 起来 起来 了,60,child,x, 起来 了
有 一天 大 熊 笑 起来 了,60,child,笑, 了
大象 起来 了 小 牛 大象 的 爸爸 也 笑 了,60,child,象, 了 小 牛 大象 的 爸爸 也 笑 了
所以 她 就 把 球 拿 了 起来,60,child,拿,NA
小 马 朋友 就 负责 的 把 球 拿 了 起来,60,child,拿,NA
然后 小 象 女 朋友 就 把 球 拿 了 起来,60,child,拿,NA
小 马 站起来,60,child,站,NA
然后 小 蚂蚁 小 蚂蚁 和 小 大象 玩 了 起来,60,child,玩,NA
然后 小 象 女 朋友 就 很 担心 的 看着 小 男 朋友 哭 了 起来,60,child,哭,NA
然后 他 小 牛 先生 也 拿 不 起来,60,child,拿,NA
然后 他 就 很 担心 的 哭 了 起来,60,child,哭,NA
他 就 哭 起来 了,72,child,哭, 了
长颈鹿 就 哭 了 起来,60,child,哭,NA
他 就 哭 了 起来,60,child,哭,NA
我 起来 拿 x,60,child,我, 拿 x
然后 他 哭 了 起来,72,child,哭,NA
来 了 以后 拿 不 起来,72,child,拿, 了 以后 拿 不 起来
他 x 起来 了,60,child,x, 了
x 起来 了,60,child,x, 了
然后 把 它 捡 起来 了,72,child,捡, 了
然后 马 就 开心 起来 了,72,child,心, 了
然后 这个 马 就 起来 了,72,child,就, 了
然后 它 还 一拿 了 它 拿起来 了 它 给 那个 驴子,72,child,拿, 了 它 给 那个 驴子
长颈鹿 以为 它 是 错 的 它 就 哭 起来 了,72,child,哭, 了
大象 宝宝 哎 不是 长颈鹿 抱 着 它 的 飞机 哭 起来 了,72,child,哭, 了
然后 它 说 了 那个 话 这 小 飞机 就 飞 了 起来,60,child,飞,NA
大象 爸爸 说 可以 让 你 的 腿 好 起来,72,child,好,NA
唉 我 感觉 不 疼 了 三天 以后 你 就 好 起来 了,72,child,好, 了
然后 小马 就 向 爸爸 和 长颈鹿 它们 就 哈哈 笑 起来 了,72,child,笑, 了
然后 象 妈妈 来 了 就 够 呀 够 然后 给 了 长颈鹿 它 就 笑 起来 了,72,child,笑, 了 就 够 呀 够 然后 给 了 长颈鹿 它 就 笑 起来 了
长颈鹿 感觉 喜欢 就 向 小象 笑 起来 了,72,child,笑, 了
小 妹妹 去 拿 了 起来,60,child,拿,NA
我 拿 起来,60,child,拿,NA
然后 它们 就 高兴 起来 了,72,child,兴, 了
然后 它们 就 高兴 起来 了,72,child,兴, 了
大象 xxx 爸爸 把 小象 抱起来 了,60,child,抱, 了
然后 飞机 不 飞 起来,60,child,飞,NA
明天 起来 气球 一 个 水 底下 掉 了,72,child,天, 气球 一 个 水 底下 掉 了
他 给 气球 他 气球 掉掉 了 那天 起来,72,child,天,NA
起来 的 时候 看到 气球 没有 了,72,child,NA, 的 时候 看到 气球 没有 了
他 xxx 起来,72,child,x,NA
那天 起来 气球 看 了 以后,72,child,天, 气球 看 了 以后
然后 起来 吧 你 先 做 一会儿,72,child,后, 吧 你 先 做 一会儿
纸飞机 飞 不 起来,72,child,飞,NA
小 大象 说 它 飞 不起来,72,child,飞,NA
把 他 搬起来 做 在 板凳 上,72,child,搬, 做 在 板凳 上
然后 然后 包起来,72,child,包,NA
然后 她 把 鼻子 伸 长长 的 哭 起来,72,child,哭,NA
然后 马 跳 起来,72,child,跳,NA
我 给 她 扶 起来 了,72,child,扶, 了
我 来 帮 你 捡 起来,72,child,捡, 帮 你 捡 起来
它 就会 泡 起来 的,72,child,泡, 的
他们 两 个 现在 跳 起来 了,72,child,跳, 了
它 就 高兴 起来 的,60,child,兴, 的
